,Number,Name,Latitude,Longitude,District,Public,Total docks,danger_score,danger_score2
111,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,43.0,94.0
112,D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18,166.0,397.0
113,C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17,44.0,164.0
114,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,14,113.0,633.0
115,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15,110.0,355.0
116,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19,67.0,225.0
117,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19,201.0,744.0
118,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15,103.0,293.0
119,K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,Yes,15,95.0,295.0
120,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19,57.0,135.0
121,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15,114.0,264.0
122,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15,86.0,252.0
123,T32013,Community Life Center,42.520136,-70.906271,Salem,Yes,9,0.0,0.0
124,S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,Yes,15,0.0,0.0
125,S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19,0.0,0.0
126,M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877,Cambridge,Yes,19,0.0,0.0
127,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23,194.0,399.0
128,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15,20.0,108.0
129,S32004,Conway Park - Somerville Avenue,42.38363895,-71.10853672,Somerville,Yes,23,0.0,0.0
130,S32045,Conway Park @ Bleachery Ct (Temp Winter Station),42.3834575,-71.1077106,Somerville,Yes,19,0.0,0.0
131,K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19,0.0,236.0
132,W32001,Coolidge Sq.,42.37207611,-71.15683131,Watertown,Yes,12,0.0,33.0
133,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,28,154.0,665.0
